Neighborhood Tabulation Area Code (NTA Code),Neighborhood Tabulation Area Name (NTA NAME),Borough Name,Total Population,Population Density (per Sq. Mi.),Total Number of Households,Area (Sq. Mi.),Street Mileage,Home Broadband Adoption (Percentage of Households),"Home Broadband Adoption by Quartiles (High, Medium-High, Medium-Low, Low)",Mobile Broadband Adoption (Percentage of Households),"Mobile broadband adoption by Quartiles (High, Medium-High, Medium-Low, Low)",Mobile Dependent Households (Percentage of Households),"Mobile Dependent Households Categorized by Quartiles (High, Medium-High, Medium-Low, Low)",Residential Broadband Choice Average by NTA,"Residential Broadband Choice Average by Quartiles (High, Medium-High, Medium-Low, Low)",Commercial Fiber ISP Choice Average by NTA,"Commercial Fiber Choice Average by Quartiles (High, Medium-High, Medium-Low, Low)",Commercial Fiber Max ISP Choice by NTA,"Commercial Fiber Max ISP Choice by Quartiles (High, Medium-High, Medium-Low, Low)",Percentage of Blocks without a Commercial Fiber Provider,Percentage of Blocks without a Commercial Fiber Provider by Quartiles,Percentage of Blocks with ISP Reported Speed Availability of >=25 Mbps (Broadband Speed),Percentage of Blocks with ISP Reported Speed Availability of >=900 Mbps,Number of Public Computer Centers with free public Wi-Fi,Public Wi-Fi in NYC Count,Number of Free Public Wi-Fi Access Points in a Pedestrian Corridor,Available Free Public Wi-Fi in a Pedestrian Corridor (Y/N),Estimated Number of Businesses,Number of Households,Total Accounts,Account Density,Account Density Quartile,Population Projections 2050,Households Receiving Benefits,Estimated Lifeline Eligible Households,Supportive Housing (NYCDHS),Low-Income Housing (NYCHA),Presence of IBZs,Number of NYCHA Buildings,Number of Public Schools,Number of DCAS Buildings,Number of NYC H+H Buildings,City Buildings with High Rooftops (7+ Floors) Capacity by Quartile,Street Furniture: FDNY Call Boxes,Street Furniture: Parking Pay Stations,Street Furniture: Bus Stop Shelters,Street Furniture: Bike Shelters,Street Furniture: City Benches,LinkNYC Kiosks,WalkNYC Sign Locations,Poles Reserved by Mobile Telecom Franchisee,Pole with Equipment Installed by Mobile Telecom Franchise,Density of Poles Reserved and with Equipment Installed for Mobile Telecom Franchise,Mobile Telecom Franchise Pole Density Level by Quartile,Empire City Subway Coverage (Percentage),Empire City Subway Coverage (Quartile),Percentage of Households with fewer than 3 broadband options available,Number of Fixed Wireless Providers Available,Estimated Aerial Plant Coverage (Percentage),Estimated Underground Plant Coverage (Percentage),Geographic Variations in Fiber Delivery Modes by NTA,Estimated Underground Utility Conflict Volume,Utility Pole Make-Ready - Estimated Required Number of Moves,Utility Pole Make-Ready - Estimated Relative Volume,NYC Internet Master Plan Open Access Infrastructure Cost Comparison Coefficient,NYC Internet Master Plan Open Access Infrastructure Cost Comparison Coefficient by Quartile,"Fiber Drops, Estimated Relative Costs","Indoor Cabling for Multiple Dwelling Units, Estimated  Relative Costs","Optimal for Unlicensed
Millimeter Wave Fixed Wireless Access as a Residential
Broadband Solution","Percentage Optimal for Unlicensed
Millimeter Wave Fixed Wireless Access as a Residential
Broadband Solution",Estimated number of radio sites for CBRS coverage,Estimated number of radio sites for mmWave coverage in optimal areas,Sample of NTA Field Surveyed? (Y/N),Reviewed for Underground Fiber-to-the-Premise? (Y/N),Reviewed for Aerial Fiber-to-the-Premise? (Y/N),Reviewed for Millimeter Wave Fixed Wireless Access? (Y/N),Field Survey Findings
BK31,Bay Ridge,Brooklyn,79134,32870.32,33320,2.41,87,0.76,Medium High,0.74,Medium High,0.05,Medium High,2.2,Medium High,1.2,Medium-Low,2,Medium Low,0.41,High,0.95,0.95,4,8,0,false,2080,33320,35400,407,Medium Low,88290,1198,4091,0,0,false,0,8,8,0,Medium Low,93,201,23,0,12,0,1,14,22,0.41,Low,0,N/A,0.56,3,0.08,0.93,Above and Underground Network,Average,4,Average,3.04,High,Average,Average,YES,0.2,322,46,NO,NO,NO,NO,NONE
BK32,Sunset Park West,Brooklyn,57377,31970.86,16677,1.79,67,0.66,Medium Low,0.71,Medium High,0.05,Medium High,2.3,Medium High,1.8,High,6,High,0.31,High,1,1,2,18,13,true,1871,16677,18548,277,Medium Low,56750,559,4604,0,0,true,0,15,3,0,Medium High,133,74,12,1,23,13,0,12,22,0.51,Medium Low,0,N/A,0.44,2,0.34,0.85,Above and Underground Network,Average,4,Average,1.59,High,Average,Average,YES,0.55,76,0,NO,NO,NO,NO,NONE
BK33,Carroll Gardens-Columbia Street-Red Hook,Brooklyn,42463,26543.74,18140,1.6,57,0.79,High,0.78,High,0.04,Medium Low,2.7,High,1.2,Medium-Low,2,Medium Low,0.29,High,1,1,3,26,6,true,1402,18140,19542,343,Medium Low,43675,644,1723,85,1757,true,5,10,3,0,Medium Low,150,59,19,0,12,6,2,13,16,0.51,Medium Low,0,N/A,0.39,2,0.54,0.48,Above and Underground Network,Average,4,Average,1.67,High,Average,Average,YES,0.52,53,13,NO,NO,NO,NO,NONE
BK34,Sunset Park East,Brooklyn,71850,73847.55,19625,0.97,28,0.68,Medium Low,0.68,Medium Low,0.05,Medium High,3,High,1.4,Medium-High,3,Medium High,0.18,Medium High,1,1,1,0,0,false,2389,19625,22014,786,High,76212,827,8086,0,0,false,0,6,7,0,Medium Low,79,135,13,0,5,0,0,7,11,0.64,Medium High,0,N/A,0.19,2,0.5,0.89,Above and Underground Network,High,4.5,High,1.9,High,High,Low,YES,0.29,108,54,NO,NO,NO,NO,NONE
BK35,Stuyvesant Heights,Brooklyn,67371,59805.37,25660,1.13,41,0.58,Low,0.74,Medium High,0.11,High,2.4,Medium High,1.4,Medium-High,3,Medium High,0.34,High,1,1,5,6,3,true,729,25660,26389,644,High,66457,1426,5014,140,3004,false,13,29,9,0,Medium Low,94,23,40,0,19,3,5,5,17,0.54,Medium Low,0,N/A,0.88,1,0,1,Above and Underground Network,High,4.5,High,2.24,High,High,Low,YES,0.21,95,6,NO,NO,NO,NO,NONE
BK37,Park Slope-Gowanus,Brooklyn,73881,48455.42,31067,1.52,53,0.86,High,0.86,High,0.04,Medium Low,2.7,High,1.4,Medium-High,3,Medium High,0.27,High,1,1,4,35,27,true,2063,31067,33130,625,Medium High,76920,235,1361,188,0,true,0,17,12,0,Medium Low,115,173,15,0,40,27,3,16,30,0.87,Medium High,0,N/A,0.35,2,0.05,0.94,Above and Underground Network,Average,4.5,High,2.83,High,Average,Average,YES,0.54,45,35,NO,NO,NO,NO,NONE
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Brooklyn,42245,41359.23,18161,1.02,53,0.81,High,0.8,High,0.05,Medium High,2.5,Medium High,2,High,6,High,0.08,Medium Low,1,1,1,125,106,true,2601,18161,20762,392,Medium Low,68500,795,2190,466,5098,false,10,24,21,0,High,102,135,31,0,24,21,5,20,24,0.83,Medium High,0,N/A,0.37,2,0,0.94,Underground Network Areas,Average,4.5,High,1.73,High,Average,Average,YES,0.43,111,8,NO,NO,NO,NO,NONE
BK40,Windsor Terrace,Brooklyn,22031,43742.97,9260,0.5,25,0.82,High,0.77,High,0.04,Medium Low,2.5,Medium High,1.2,Medium-Low,3,Medium High,0.39,High,1,1,1,3,0,false,1944,9260,11204,448,Medium High,22287,192,489,0,0,false,0,7,2,0,Low,44,15,9,0,4,0,0,2,6,0.32,Low,0,N/A,0.62,2,0,1,Underground Network Areas,Average,4,Average,0.95,Medium High,Average,Average,YES,0.21,143,37,NO,NO,NO,NO,NONE
BK41,Kensington-Ocean Parkway,Brooklyn,37676,66091.15,12228,0.57,20,0.71,Medium High,0.69,Medium Low,0.04,Medium Low,2.3,Medium High,1,Low,2,Medium Low,0.7,High,1,1,1,2,0,false,1801,12228,14029,701,High,39283,247,2682,0,0,false,0,5,1,0,Low,37,57,4,0,4,0,1,5,8,0.65,Medium High,0,N/A,0.79,1,0.07,1,Above and Underground Network,Average,4.5,High,1.19,Medium High,Average,Average,YES,0.46,111,11,NO,NO,NO,NO,NONE
BK42,Flatbush,Brooklyn,108653,66937.54,38532,1.62,54,0.68,Medium Low,0.69,Medium Low,0.05,Medium High,2.5,Medium High,1.5,Medium-High,3,Medium High,0.32,High,1,1,6,9,6,true,1517,38532,40049,742,High,110084,1663,7305,52,0,false,0,10,8,0,Medium Low,91,208,22,0,13,6,13,13,16,0.54,Medium Low,0,N/A,0.63,1,0.06,1,Above and Underground Network,High,4.5,High,3.42,High,High,Low,YES,0.51,110,30,NO,NO,NO,NO,NONE
BK43,Midwood,Brooklyn,53377,41568.95,18840,1.28,38,0.66,Medium Low,0.62,Low,0.06,High,2.7,High,1.5,Medium-High,4,High,0.14,Medium High,1,0.98,2,1,0,false,1708,18840,20548,541,Medium High,58126,526,3580,0,0,false,0,6,6,0,Medium Low,49,128,18,0,8,0,1,9,8,0.45,Medium Low,0,N/A,0.28,2,0.84,0.81,Above and Underground Network,Average,4.5,High,1.74,High,Average,Average,YES,0.3,135,50,NO,NO,NO,NO,NONE
BK44,Madison,Brooklyn,40122,40855.94,14900,0.98,31,0.75,Medium High,0.65,Low,0.05,Medium High,2,Medium High,1.2,Medium-Low,3,Medium High,0.02,Low,1,0.98,2,1,0,false,2125,14900,17025,549,Medium High,43649,408,2217,0,0,false,0,3,1,0,Low,39,147,21,1,1,0,3,5,13,0.58,Medium Low,0,N/A,1,2,1,0.44,Above and Underground Network,Average,4.5,High,1.45,High,Average,Average,YES,0.27,87,0,NO,NO,NO,NO,NONE
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,Brooklyn,47997,19301.16,16591,2.49,70,0.76,Medium High,0.69,Medium Low,0.04,Medium Low,2,Medium Low,1.2,Medium-Low,3,Medium High,0.05,Low,0.99,0.93,1,2,0,false,1823,16591,18414,263,Medium Low,48817,244,1292,0,0,false,0,7,9,0,Medium Low,37,46,18,0,3,0,1,2,11,0.19,Low,0,N/A,1,1,0.85,0.01,Above and Underground Network,Low,3,Low,1.59,High,Low,High,NO,0.02,115,90,NO,NO,NO,NO,NONE
BK46,Ocean Parkway South,Brooklyn,21253,33321.92,6855,0.64,21,0.63,Medium Low,0.6,Low,0.06,High,2.9,High,1.1,Low,2,Medium Low,0.1,Medium Low,1,1,0,0,0,false,2196,6855,9051,431,Medium Low,24192,170,1295,0,0,false,0,1,0,0,Low,18,51,4,0,0,0,0,1,2,0.14,Low,0,N/A,0.11,1,0.8,1,Above and Underground Network,Average,4,Average,0.77,Medium Low,Average,Average,YES,0.12,100,32,YES,YES,NO,NO,Average to high underground interference from existing utilities.
BK50,Canarsie,Brooklyn,88367,30008.6,28895,2.94,81,0.77,High,0.76,High,0.04,Medium Low,2.1,Medium High,1.4,Medium-High,3,Medium High,0.07,Medium Low,0.99,0.94,1,2,0,false,997,28895,29892,369,Medium Low,86082,1101,4304,0,3205,true,5,21,13,0,Low,109,98,21,0,10,0,2,18,16,0.42,Medium Low,0,N/A,0.85,2,0.98,0,Above and Underground Network,Average,4,Average,2.54,High,Average,Average,YES,0.06,63,24,YES,YES,YES,NO,"High make-ready requirements. Of the sample poles surveyed 33% required make-ready, and 33% required pole replacement. 
General findings for this area include; the presence of call boxes and low voltage wires on pole lines, and spacing issues with current utility attachments in the telecom space."
BK58,Flatlands,Brooklyn,72540,37216.58,23087,1.95,64,0.76,Medium High,0.7,Medium Low,0.04,Medium Low,2.4,Medium High,1.5,Medium-High,4,High,0.08,Medium Low,1,0.95,3,2,0,false,1596,23087,24683,386,Medium Low,68335,810,2939,0,1188,true,2,4,15,0,Low,70,156,21,0,12,0,8,8,2,0.16,Low,0,N/A,0.47,3,1,0.08,Above and Underground Network,Average,4,Average,2.11,High,Average,Average,YES,0.03,66,21,NO,NO,NO,NO,NONE
BK60,Prospect Lefferts Gardens-Wingate,Brooklyn,69363,61122.1,26574,1.13,32,0.65,Medium Low,0.64,Low,0.04,Medium Low,2.7,High,1.7,High,4,High,0.21,Medium High,1,1,3,20,9,true,899,26574,27473,859,High,78810,1295,4054,151,266,false,1,15,7,2,Medium Low,91,81,33,0,23,9,15,9,17,0.81,Medium High,0,N/A,0.52,1,0.19,1,Above and Underground Network,High,4.5,High,2.35,High,High,Low,YES,0.7,109,12,NO,NO,NO,NO,NONE
BK61,Crown Heights North,Brooklyn,107134,57864.19,45959,1.85,62,0.63,Medium Low,0.71,Medium High,0.06,High,2.4,Medium High,1.4,Medium-High,3,Medium High,0.23,High,1,1,7,44,27,true,769,43928,44697,721,High,120199,2912,8146,179,4194,false,11,23,29,0,Medium High,114,95,53,0,29,27,19,18,35,0.85,Medium High,0,N/A,0.66,2,0.24,1,Above and Underground Network,High,4.5,High,3.76,High,High,Low,YES,0.56,53,34,NO,NO,NO,NO,NONE
BK63,Crown Heights South,Brooklyn,41962,73165.02,13079,0.57,20,0.68,Medium Low,0.65,Low,0.04,Medium Low,2.4,Medium High,1.5,Medium-High,3,Medium High,0.33,High,1,1,0,11,8,true,780,15110,15890,795,High,45185,719,2725,0,0,false,0,14,11,0,Low,43,52,14,0,21,8,5,7,11,0.9,Medium High,0,N/A,0.69,2,0.01,1,Above and Underground Network,High,4.5,High,1.34,Medium High,High,Low,YES,0.54,45,38,NO,NO,NO,NO,NONE
BK64,Prospect Heights,Brooklyn,20493,55846.77,9419,0.37,13,0.85,High,0.84,High,0.02,Low,3,High,2.2,High,4,High,0.12,Medium High,1,1,0,15,14,true,1173,9419,10592,815,High,26853,236,559,54,0,false,0,5,4,0,Medium Low,31,48,7,0,12,14,5,2,13,1.15,High,0,N/A,0.16,1,0,1,Underground Network Areas,High,4.5,High,0.89,Medium High,High,Low,YES,0.46,110,0,NO,NO,NO,NO,NONE
BK68,Fort Greene,Brooklyn,30288,51230.88,12863,0.59,24,0.75,Medium High,0.75,Medium High,0.04,Medium Low,2.5,High,2,High,4,High,0.06,Medium Low,1,1,2,46,20,true,1779,12863,14642,610,Medium High,35169,700,1753,59,3799,false,5,12,4,2,High,47,39,14,1,10,6,6,6,15,0.88,Medium High,0,N/A,0.41,1,0,1,Underground Network Areas,Average,4.5,High,1.22,Medium High,Average,Average,YES,0.86,78,0,YES,YES,NO,NO,Average underground interference from existing utilities.
BK69,Clinton Hill,Brooklyn,38655,52498.59,16212,0.74,27,0.75,Medium High,0.79,High,0.04,Medium Low,2.8,High,1.7,High,4,High,0.16,Medium High,1,1,3,15,9,true,1188,16212,17400,644,High,42908,371,1251,78,0,false,0,11,6,0,Low,73,51,17,0,33,9,9,5,12,0.63,Medium High,0,N/A,0.35,1,0,1,Underground Network Areas,High,4.5,High,1.45,High,High,Low,YES,0.61,149,34,NO,NO,NO,NO,NONE
BK72,Williamsburg,Brooklyn,33767,81227.34,8339,0.42,19,0.23,Low,0.34,Low,0.04,Medium Low,2.3,Medium High,1.1,Low,2,Medium Low,0.5,High,1,1,1,1,0,false,1840,8339,10179,536,Medium High,44875,580,4469,0,1269,false,4,6,2,0,Medium Low,40,22,7,0,2,0,3,6,6,0.63,Medium High,0,N/A,0.59,1,0,1,Underground Network Areas,Average,4.5,High,0.86,Medium Low,Average,Average,YES,0.83,82,0,NO,NO,NO,NO,NONE
BK73,North Side-South Side,Brooklyn,54330,52467.36,23862,1.04,41,0.75,Medium High,0.8,High,0.04,Medium Low,2.6,High,1.3,Medium-Low,3,Medium High,0.32,High,1,1,1,40,29,true,1875,23862,25737,628,Medium High,80903,894,2773,0,727,true,4,11,6,0,Medium Low,94,60,5,0,15,26,16,17,11,0.68,Medium High,0,N/A,0.38,2,0,0.92,Underground Network Areas,High,4.5,High,2.14,High,High,Low,YES,0.8,159,4,NO,NO,NO,NO,NONE
BK75,Bedford,Brooklyn,75318,64354.26,26135,1.17,40,0.6,Low,0.69,Medium Low,0.07,High,2.7,High,1.4,Medium-High,3,Medium High,0.27,High,1,1,5,11,4,true,1061,26135,27196,680,High,82022,1907,6073,76,4342,false,13,18,12,0,Medium High,92,19,29,0,19,4,7,6,25,0.78,Medium High,0,N/A,0.6,1,0,1,Underground Network Areas,Average,4.5,High,2.32,High,Average,Average,YES,0.55,282,103,NO,NO,NO,NO,NONE
BK76,Greenpoint,Brooklyn,33351,26320.88,16223,1.27,39,0.73,Medium High,0.78,High,0.05,Medium High,2.7,High,1.4,Medium-High,2,Medium Low,0.17,Medium High,1,1,1,15,12,true,1675,16223,17898,459,Medium High,55096,288,1202,0,0,true,0,6,1,0,Low,79,52,4,0,3,12,1,3,9,0.31,Low,0,N/A,0.2,1,0.36,0.68,Above and Underground Network,Average,4.5,High,1.5,High,Average,Average,YES,0.53,81,21,NO,NO,NO,NO,NONE
BK77,Bushwick North,Brooklyn,60834,68038.22,19367,0.89,31,0.56,Low,0.77,High,0.16,High,3,High,1.3,Medium-Low,3,Medium High,0.19,Medium High,1,1,2,10,0,false,1073,19367,20440,659,High,64610,987,5105,0,276,true,0,18,3,0,Medium Low,78,60,10,0,12,0,0,10,21,1,Medium High,0,N/A,0.34,2,0.24,0.76,Above and Underground Network,Average,4.5,High,1.73,High,Average,Average,YES,0.21,104,13,NO,NO,NO,NO,NONE
BK78,Bushwick South,Brooklyn,75003,52056.56,26616,1.44,47,0.55,Low,0.69,Medium Low,0.12,High,2.5,Medium High,1.3,Medium-Low,2,Medium Low,0.39,High,1,1,6,9,3,true,1000,26616,27616,588,Medium High,89551,1560,5918,70,5032,true,9,23,4,3,Medium High,127,55,15,0,17,3,0,2,27,0.62,Medium High,0,N/A,0.69,2,0,1,Underground Network Areas,Average,4.5,High,2.32,High,Average,Average,YES,0.37,60,13,NO,NO,NO,NO,NONE
BK79,Ocean Hill,Brooklyn,34025,47218.57,13004,0.72,32,0.58,Low,0.76,High,0.04,Medium Low,2.3,Medium High,1.2,Medium-Low,2,Medium Low,0.5,High,1,1,1,13,9,true,508,13004,13512,422,Medium Low,36888,814,3054,187,0,true,5,15,7,0,Medium Low,69,11,15,0,4,9,1,3,16,0.59,Medium Low,0,N/A,0.79,1,0.66,1,Above and Underground Network,Average,4.5,High,1.13,Medium High,Average,Average,YES,0.42,144,13,NO,NO,NO,NO,NONE
BK81,Brownsville,Brooklyn,60124,51231.34,21467,1.17,42,0.57,Low,0.61,Low,0.08,High,2.5,Medium High,1.2,Medium-Low,3,Medium High,0.33,High,1,0.99,7,11,0,false,763,21467,22230,529,Medium High,67556,2698,6480,73,7636,true,18,29,7,0,Medium High,95,59,34,0,25,0,0,8,26,0.81,Medium High,0,N/A,0.54,2,0.43,1,Above and Underground Network,Average,4.5,High,1.91,High,Average,Average,YES,0.43,81,4,YES,YES,NO,YES,"High underground interference from existing utilities.  
Area suitable for fixed wireless, NYCHA buildings to be used are wireless hub locations."
